en	es	fr	de	it	ja	ko	zh-Hans	zh-Hant
Icy Snow Pattern	Motivo Polar	Motif Blizzard	Frostmuster	Motivo Nevi Perenni	ひょうせつのもよう	빙설의 모양	冰雪花纹	冰雪花紋
Polar Pattern	Motivo Taiga	Motif Banquise	Schneefeldmuster	Motivo Nordico	ゆきぐにのもよう	설국의 모양	雪国花纹	雪國花紋
Tundra Pattern	Motivo Tundra	Motif Glace	Flockenmuster	Motivo Manto di Neve	せつげんのもよう	설원의 모양	雪原花纹	雪原花紋
Continental Pattern	Motivo Continental	Motif Continent	Kontinentalmuster	Motivo Continentale	たいりくのもよう	대륙의 모양	大陆花纹	大陸花紋
Garden Pattern	Motivo Vergel	Motif Verdure	Ziergartenmuster	Motivo Prato	ていえんのもよう	정원의 모양	庭园花纹	庭園花紋
Elegant Pattern	Motivo Oriental	Motif Monarchie	Prunkmuster	Motivo Eleganza	みやびなもよう	우아한 모양	高雅花纹	高雅花紋
Meadow Pattern	Motivo Floral	Motif Floraison	Blumenmeermuster	Motivo Giardinfiore	はなぞののもよう	화원의 모양	花园花纹	花園花紋
Modern Pattern	Motivo Moderno	Motif Métropole	Innovationsmuster	Motivo Trendy	モダンなもよう	모던한 모양	摩登花纹	摩登花紋
Marine Pattern	Motivo Marino	Motif Rivage	Aquamarinmuster	Motivo Marino	マリンのもよう	마린의 모양	大海花纹	大海花紋
Archipelago Pattern	Motivo Isleño	Motif Archipel	Archipelmuster	Motivo Arcipelago	ぐんとうのもよう	군도의 모양	群岛花纹	群島花紋
High Plains Pattern	Motivo Estepa	Motif Sécheresse	Dürremuster	Motivo Deserto	こうやのもよう	황야의 모양	荒野花纹	荒野花紋
Sandstorm Pattern	Motivo Desierto	Motif Sable	Sandmuster	Motivo Sabbia	さじんのもよう	사진의 모양	沙尘花纹	沙塵花紋
River Pattern	Motivo Oasis	Motif Delta	Flussdeltamuster	Motivo Fluviale	たいがのもよう	대하의 모양	大河花纹	大河花紋
Monsoon Pattern	Motivo Monzón	Motif Cyclone	Monsunmuster	Motivo Pluviale	スコールのもよう	스콜의 모양	骤雨花纹	驟雨花紋
Savanna Pattern	Motivo Pantano	Motif Mangrove	Savannenmuster	Motivo Savana	サバンナのもよう	사바나의 모양	热带草原花纹	熱帶草原花紋
Sun Pattern	Motivo Solar	Motif Zénith	Sonnenmuster	Motivo Solare	たいようのもよう	태양의 모양	太阳花纹	太陽花紋
Ocean Pattern	Motivo Océano	Motif Soleil Levant	Ozeanmuster	Motivo Oceanico	オーシャンのもよう	오션의 모양	大洋花纹	大洋花紋
Jungle Pattern	Motivo Jungla	Motif Jungle	Dschungelmuster	Motivo Giungla	ジャングルのもよう	정글의 모양	热带雨林花纹	熱帶雨林花紋
